SVM-light Version V6.02
0 # kernel type
3 # kernel parameter -d 
1 # kernel parameter -g 
1 # kernel parameter -s 
1 # kernel parameter -r 
empty# kernel parameter -u 
50 # highest feature index 
1813 # number of training documents 
1135 # number of support vectors plus 1 
0.35632297 # threshold b, each following line is a SV (starting with alpha*y)
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:0.65678102 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:7.246408 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:17.02533 38:-0.063603997 50:9.1586599 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:11.964125 38:-0.063603997 50:3.0893569 #
0.5 5:0.55707598 6:-0.35563499 10:-0.40832499 12:-0.034899998 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:1.924051 #
0.21638463124549667249141293723369 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:18.595337 38:-0.063603997 50:4.9829798 #
0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:2.802886 #
-0.5 5:7.5588398 6:-0.35563499 10:-0.40832499 12:6.6083412 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.48666501 6:2.077569 10:-0.40832499 12:0.30577901 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:-0.48666501 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:2.273643 #
0.5 5:0.28164399 6:-0.35563499 10:0.41082299 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:1.011228 #
-0.5 5:-0.48666501 6:-0.35563499 10:16.762863 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
-0.5 5:12.690568 6:-0.35563499 10:-0.40832499 12:-0.66384602 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:0.194666 6:-0.35563499 10:-0.40832499 12:-0.048004001 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.615345 #
0.5 5:0.13668001 6:-0.35563499 10:0.92085803 12:1.039549 15:-0.21397699 25:-0.259592 28:-0.18276601 38:-0.063603997 50:-0.0035590001 #
