-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 12:0.030615 25:0.838671 28:-0.182766 38:-0.063604 50:3.040803 
1 5:-0.312708 12:-0.165931 25:-0.259592 28:-0.182766 38:-0.063604 50:0.282912 
-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:7.901100 
-1 5:-0.486665 12:1.013343 25:-0.259592 28:-0.182766 38:-0.063604 50:0.268346 
-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:0.656781 
1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.523092 
1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:0.962976 12:0.449912 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.508525 
-1 5:-0.486665 12:0.594045 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:0.702040 12:0.947828 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.299741 
-1 5:0.818011 12:-0.663846 25:1.843466 28:1.676452 38:-0.063604 50:1.564749 
1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 12:0.947828 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.139512 
1 5:-0.080766 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:0.855854 
-1 5:0.238155 12:-0.008694 25:0.527107 28:0.850133 38:-0.063604 50:0.195514 
1 5:0.078695 12:1.419537 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.435694 
-1 5:-0.486665 12:1.380228 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.251187 
-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:2.833012 12:0.829900 25:-0.259592 28:-0.182766 38:-0.063604 50:2.521271 
-1 5:-0.124255 12:-0.008694 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
1 5:1.615314 12:0.764385 25:0.020815 28:-0.182766 38:-0.063604 50:-0.343440 
-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 12:-0.663846 25:2.209554 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:0.136680 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.231765 
1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:0.248924 
1 5:-0.486665 12:0.515427 25:-0.259592 28:-0.182766 38:-0.063604 50:0.093550 
-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:0.499091 12:-0.663846 25:0.005237 28:-0.182766 38:-0.063604 50:-0.615345 
-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:2.516415 
-1 5:-0.486665 12:-0.663846 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.081246 
-1 5:-0.269219 12:1.747113 25:1.773364 28:-0.182766 38:0.228118 50:0.078983 
-1 5:-0.486665 12:-0.139725 25:0.137652 28:-0.182766 38:-0.063604 50:0.132393 
-1 5:-0.486665 12:0.069924 25:-0.259592 28:-0.182766 38:-0.063604 50:-0.134656 
